document_type,record_ipno
NAR,52000364
NAR,72000393
NAR,40000517
NAR,72000810
NAR,40000281
ITF,76000392
ITF,52000346
NAR,40000363
ITF,52000523
ITF,76000295
NAR,40000471
NAR,63000050
NAR,52000505
NAR,76000003
NAR,40000123
ITF,76000132
ITF,72000119
NAR,63000058
NAR,76000248
NAR,52000276
NAR,52000258
ITF,40000089
NAR,52000378
NAR,76000137
NAR,63000317
NAR,72000661
NAR,72000212
ITF,52000537
NAR,76000158
NAR,63000131
NAR,52000707
ITF,40000342
NAR,63000009
ITF,40000518
NAR,63000119
NAR,52000657
ITF,76000350
ITF,40000352
NAR,63000087
NAR,72000094
NAR,52000348
NAR,72000603
ITF,76000311
NAR,72000349
NAR,76000321
ITF,76000386
NAR,40000443
NAR,63000103
ITF,76000144
NAR,72000002
NAR,52000437
ITF,72000303
ITF,63000279
NAR,52000431
NAR,76000030
NAR,40000153
NAR,72000357
NAR,63000076
NAR,52000118
NAR,40000370
ITF,40000401
NAR,40000129
NAR,76000024
NAR,72000144
NAR,52000313
NAR,52000254
NAR,52000445
ITF,72000400
NAR,52000398
NAR,63000293
ITF,63000153
NAR,40000490
NAR,72000259
ITF,72000063
NAR,52000410
ITF,76000351
NAR,52000170
NAR,52000403
NAR,52000483
NAR,40000199
ITF,40000466
ITF,72000141
NAR,52000386
NAR,40000164
NAR,63000135
NAR,72000297
NAR,52000058
ITF,40000064
ITF,72000714
NAR,52000751
NAR,40000266
NAR,53000092
NAR,76000031
NAR,40000110
NAR,52000465
ITF,63000048
NAR,72000380
ITF,72000060
ITF,53000075
NAR,40000484
NAR,76000066
NAR,76000351
ITF,63000354
NAR,76000014
NAR,40000160
ITF,40000515
ITF,52000469
NAR,52000481
NAR,72000316
ITF,52000380
ITF,76000334
NAR,40000056
ITF,76000186
NAR,63000193
NAR,40000042
NAR,52000320
ITF,53000054
NAR,76000333
NAR,72000673
ITF,40000597
NAR,76000155
ITF,63000056
NAR,52000339
NAR,52000312
ITF,72000876
ITF,63000472
NAR,40000393
NAR,41000244
NAR,63000109
NAR,40000440
ITF,40000102
ITF,76000161
NAR,72000152
ITF,72000707
NAR,40000548
NAR,52000375
NAR,52000105
NAR,40000561
NAR,76000243
NAR,40000209
NAR,40000170
NAR,76000088
ITF,72000244
NAR,40000102
NAR,52000747
ITF,52000227
NAR,52000136
NAR,52000223
ITF,40000104
NAR,40000550
ITF,52000570
NAR,40000582
NAR,63000241
ITF,52000714
ITF,40000445
NAR,52000270
NAR,72000345
NAR,40000399
NAR,76000135
NAR,40000093
ITF,40000578
NAR,63000316
ITF,40000471
NAR,72000233
NAR,52000584
NAR,76000412
NAR,40000276
ITF,63000203
ITF,72000764
NAR,40000142
NAR,72000766
ITF,63000033
ITF,72000877
NAR,76000389
ITF,76000039
NAR,63000046
NAR,40000458
NAR,40000059
ITF,76000242
NAR,52000500
NAR,52000765
NAR,40000179
NAR,72001022
NAR,40000049
NAR,52000556
ITF,72000242
NAR,40000423
NAR,40000500
ITF,76000409
NAR,40000303
NAR,52000686
NAR,72000838
ITF,52000539
NAR,63000010
ITF,40000166
NAR,41000001
NAR,52000581
NAR,52000112
NAR,40000271
NAR,72001032
NAR,52000121
NAR,52000759
NAR,52000585
NAR,52000269
NAR,72000394
NAR,52000280
NAR,76000125
NAR,40000136
ITF,52000077
NAR,40000587
ITF,40000450
ITF,72000689
NAR,72000282
NAR,52000021
NAR,72000743
NAR,72000587
NAR,40000342
ITF,72000711
ITF,52000662
NAR,63000141
NAR,72000061
NAR,63000305
NAR,53000138
NAR,40000180
ITF,63000531
NAR,52000598
NAR,40000620
ITF,52000375
NAR,72000260
NAR,72000660
NAR,40000537
ITF,52000446
ITF,52000558
ITF,63000065
NAR,52000616
NAR,72000037
ITF,52000423
NAR,40000184
NAR,63000231
NAR,40000138
ITF,40000555
NAR,63000175
NAR,72000225
ITF,52000485
ITF,52000285
ITF,53000067
ITF,52000764
ITF,72000204
NAR,53000110
NAR,72000219
ITF,52000386
NAR,63000085
NAR,72000277
NAR,52000306
NAR,40000233
NAR,40000045
NAR,52000608
NAR,40000172
NAR,76000091
ITF,76000281
ITF,76000087
ITF,40000014
NAR,63000041
ITF,52000197
ITF,40000259
NAR,40000274
NAR,40000350
ITF,52000510
NAR,40000289
NAR,40000297
ITF,63000364
NAR,63000039
ITF,40000635
NAR,63000304
NAR,72000582
NAR,63000307
NAR,40000523
NAR,52000474
NAR,76000055
NAR,76000318
NAR,76000410
NAR,52000177
NAR,52000736
NAR,63000133
ITF,40000383
NAR,40000435
NAR,76000170
NAR,40000131
ITF,72000020
NAR,40000616
ITF,76000082
NAR,76000143
NAR,40000015
NAR,52000611
ITF,72000224
ITF,40000198
ITF,52000647
NAR,40000513
ITF,40000392
NAR,72000343
ITF,40000303
NAR,52000444
ITF,52000641
ITF,76000219
ITF,40000593
ITF,63000028
NAR,72000354
NAR,52000703
ITF,63000460
NAR,40000306
ITF,72000857
NAR,76000061
ITF,52000612
ITF,40000132
ITF,72000413
ITF,72001049
NAR,53000078
NAR,52000211
NAR,72000659
ITF,52000557
NAR,52000212
NAR,40000128
NAR,72000054
ITF,40000331
NAR,76000044
NAR,63000166
NAR,40000604
NAR,52000596
NAR,76000131
ITF,72000285
ITF,40000080
NAR,40000408
NAR,76000148
NAR,63000354
NAR,52000155
NAR,52000576
ITF,40000311
NAR,52000573
NAR,63000134
NAR,63000112
NAR,72000102
NAR,52000160
NAR,53000055
ITF,52000568
NAR,52000299
ITF,52000360
ITF,40000341
NAR,52000235
ITF,63000380
ITF,63000119
ITF,40000144
ITF,72000104
NAR,72000156
ITF,76000368
ITF,40000543
NAR,72000418
NAR,72001021
NAR,40000534
NAR,63000475
NAR,72000116
ITF,52000329
NAR,63000223
ITF,52000737
NAR,40000475
NAR,52000766
NAR,52000246
ITF,52000237
ITF,72000870
NAR,63000195
NAR,72000092
ITF,40000491
ITF,40000412
ITF,76000214
ITF,63000217
NAR,52000441
ITF,40000275
NAR,76000276
NAR,40000645
ITF,63000194
NAR,72000133
NAR,52000334
ITF,72000839
ITF,63000019
NAR,63000014
NAR,63000389
NAR,76000255
NAR,63000007
ITF,63000432
NAR,72000837
NAR,76000375
NAR,52000570
NAR,72000118
NAR,72000167
NAR,40000355
ITF,63000112
NAR,52000238
NAR,40000165
NAR,63000146
NAR,63000510
NAR,52000371
NAR,40000441
NAR,52000278
NAR,40000217
NAR,72001052
NAR,72000075
NAR,52000077
NAR,53000068
NAR,40000090
NAR,63000218
ITF,76000195
NAR,63000528
ITF,52000118
NAR,63000432
NAR,40000592
NAR,52000473
NAR,72000191
ITF,40000008
ITF,63000352
NAR,40000225
NAR,52000056
NAR,40000579
NAR,40000108
NAR,72000193
ITF,63000283
ITF,52000447
NAR,52000396
NAR,76000119
NAR,72000146
NAR,63000015
NAR,40000329
ITF,76000312
NAR,52000727
ITF,72000355
NAR,72000113
NAR,76000229
ITF,40000583
NAR,63000233
ITF,72000292
NAR,52000615
NAR,52000123
NAR,52000229
ITF,63000107
NAR,40000419
NAR,63000185
NAR,76000200
ITF,52000680
NAR,52000176
ITF,52000644
NAR,76000013
NAR,63000071
ITF,72000709
NAR,72001009
ITF,76000318
NAR,40000512
NAR,76000038
NAR,40000651
NAR,63000270
ITF,40000160
NAR,52000520
NAR,63000150
ITF,40000090
NAR,72000761
ITF,40000494
ITF,52000330
NAR,63000295
ITF,63000334
ITF,72001002
NAR,72000359
NAR,72000036
NAR,52000674
NAR,72000352
ITF,52000596
NAR,63000282
NAR,76000347
ITF,53000120
NAR,72000686
NAR,52000239
NAR,72000210
ITF,63000209
NAR,72000842
NAR,40000361
NAR,52000171
NAR,72000679
NAR,52000297
ITF,72000227
NAR,76000121
ITF,76000234
NAR,76000268
NAR,63000081
NAR,40000556
NAR,40000195
NAR,52000749
ITF,76000098
NAR,52000195
NAR,40000083
NAR,52000711
ITF,40000034
NAR,52000466
NAR,40000404
NAR,52000667
ITF,63000201
ITF,53000019
ITF,76000376
ITF,52000751
NAR,76000292
NAR,76000250
NAR,76000372
NAR,52000725
NAR,40000174
ITF,72000609
NAR,40000434
NAR,40000103
NAR,63000116
ITF,76000016
NAR,63000022
NAR,72000155
ITF,63000538
ITF,72000878
NAR,72000409
NAR,63000309
NAR,40000343
NAR,52000268
ITF,76000072
NAR,63000330
ITF,40000308
NAR,63000240
NAR,52000557
NAR,72000034
NAR,63000353
ITF,63000446
NAR,52000639
NAR,52000731
NAR,76000249
ITF,52000608
ITF,52000494
NAR,72000760
NAR,76000182
NAR,40000519
NAR,63000469
NAR,63000306
NAR,72000033
NAR,52000241
ITF,53000028
NAR,72000847
ITF,76000184
NAR,63000156
NAR,72000326
ITF,40000288
NAR,52000632
ITF,72000749
NAR,52000735
NAR,63000155
NAR,72000347
NAR,72000859
ITF,76000283
ITF,40000510
NAR,63000043
ITF,52000511
NAR,76000101
NAR,40000298
NAR,40000424
ITF,72000854
ITF,52000491
ITF,63000210
ITF,40000197
NAR,52000179
ITF,76000332
NAR,63000343
NAR,52000690
NAR,63000285
NAR,52000717
NAR,52000088
NAR,40000615
NAR,76000172
NAR,52000569
NAR,52000720
ITF,63000269
NAR,63000030
NAR,72001040
NAR,52000435
ITF,52000633
ITF,40000363
NAR,40000390
NAR,76000134
NAR,72000756
ITF,63000307
NAR,52000443
NAR,40000046
NAR,40000601
ITF,76000142
NAR,76000340
ITF,76000261
NAR,40000498
ITF,40000589
NAR,76000133
NAR,52000078
ITF,72000029
ITF,52000425
ITF,40000188
ITF,72001018
NAR,76000168
NAR,72000668
NAR,52000643
NAR,52000767
NAR,53000125
NAR,63000138
NAR,52000744
NAR,52000273
NAR,63000029
ITF,72000003
NAR,72000818
NAR,40000222
NAR,52000166
ITF,76000025
NAR,40000069
NAR,76000408
NAR,40000104
NAR,40000081
ITF,76000356
ITF,72000114
NAR,63000008
NAR,72000862
NAR,40000619
NAR,40000226
NAR,76000329
ITF,52000771
NAR,40000478
NAR,72000852
NAR,40000567
NAR,72000653
NAR,40000234
NAR,40000598
NAR,76000012
NAR,63000272
ITF,76000085
ITF,52000664
NAR,72000825
NAR,52000087
NAR,63000531
NAR,52000646
ITF,72000837
ITF,63000148
ITF,72000767
ITF,52000575
NAR,40000375
ITF,40000382
ITF,40000365
NAR,40000552
NAR,52000467
NAR,72000883
NAR,63000184
NAR,63000291
ITF,72001034
NAR,40000642
ITF,63000404
ITF,76000217
NAR,40000518
NAR,52000503
ITF,40000356
NAR,52000752
ITF,52000150
NAR,72000089
NAR,76000221
ITF,52000543
ITF,52000176
NAR,72000330
NAR,72000348
ITF,63000349
NAR,40000098
NAR,52000359
ITF,52000532
NAR,40000213
NAR,40000001
ITF,63000296
NAR,72000114
NAR,72001036
NAR,40000325
NAR,63000016
ITF,72000082
ITF,40000425
ITF,63000463
ITF,52000335
ITF,40000321
NAR,40000431
NAR,52000710
NAR,63000096
NAR,72000585
ITF,72000768
NAR,40000590
NAR,72000153
NAR,40000522
NAR,52000671
ITF,40000309
ITF,76000220
ITF,72000322
NAR,72000245
ITF,53000017
NAR,52000272
ITF,40000426
ITF,52000116
ITF,40000059
NAR,40000327
ITF,63000300
NAR,52000379
NAR,52000113
NAR,52000247
NAR,72000009
NAR,52000165
NAR,40000427
ITF,40000528
NAR,63000211
NAR,40000126
ITF,40000489
ITF,63000317
NAR,63000127
NAR,76000056
NAR,76000284
NAR,40000068
NAR,76000102
NAR,40000656
ITF,72000309
NAR,72000132
NAR,76000090
NAR,52000380
ITF,72000338
NAR,40000603
NAR,40000074
NAR,76000171
NAR,52000114
ITF,63000473
NAR,40000112
NAR,52000668
NAR,40000070
NAR,72000680
NAR,52000633
ITF,40000378
ITF,72000863
NAR,72000792
NAR,72000388
NAR,63000261
ITF,76000191
ITF,76000227
ITF,63000516
ITF,63000264
ITF,52000388
ITF,52000382
ITF,40000447
ITF,72000344
ITF,40000196
ITF,40000345
NAR,52000131
NAR,40000412
NAR,40000483
NAR,72000819
NAR,40000586
NAR,52000578
NAR,52000225
NAR,40000301
ITF,76000400
NAR,52000377
NAR,40000569
NAR,40000421
ITF,40000636
NAR,52000022
ITF,72000097
ITF,76000257
NAR,52000190
ITF,72001001
ITF,40000592
ITF,52000721
NAR,76000058
ITF,76000028
NAR,40000368
NAR,72000151
ITF,52000338
NAR,40000176
NAR,63000313
ITF,52000506
ITF,72001032
ITF,52000096
ITF,52000503
NAR,72000742
NAR,52000641
ITF,52000733
NAR,76000324
NAR,40000341
ITF,52000592
NAR,76000157
NAR,40000205
ITF,72000684
ITF,63000306
ITF,40000291
ITF,76000226
NAR,52000679
ITF,63000114
NAR,41000327
ITF,52000561
NAR,76000026
ITF,40000616
NAR,72000309
NAR,40000588
NAR,40000212
NAR,52000067
NAR,52000187
ITF,76000399
NAR,63000517
NAR,40000557
ITF,63000245
NAR,40000244
NAR,52000511
NAR,63000521
NAR,63000052
ITF,76000289
NAR,40000420
ITF,53000076
ITF,72000067
NAR,63000161
NAR,52000285
NAR,63000180
NAR,40000312
NAR,40000302
ITF,52000342
ITF,72000087
ITF,40000567
NAR,72000390
ITF,72000852
NAR,52000203
ITF,63000465
NAR,72000860
NAR,72000331
NAR,72000708
NAR,52000591
NAR,72000182
ITF,72000380
NAR,40000203
NAR,63000144
NAR,40000570
NAR,41000375
NAR,40000407
ITF,40000388
NAR,76000115
ITF,52000354
ITF,63000344
NAR,52000394
ITF,72000690
ITF,52000105
ITF,52000412
ITF,63000093
ITF,40000449
NAR,63000059
NAR,76000186
NAR,52000612
NAR,52000209
ITF,72000078
ITF,72000347
NAR,72000287
NAR,72000772
ITF,72000072
ITF,63000044
NAR,52000248
NAR,72001055
NAR,76000164
NAR,40000215
ITF,72001055
NAR,40000223
NAR,72000305
ITF,40000367
ITF,76000255
ITF,72000352
NAR,63000250
ITF,72000221
NAR,63000347
ITF,72000091
NAR,52000224
NAR,72000229
ITF,40000113
ITF,40000455
ITF,63000299
ITF,63000260
NAR,72000253
NAR,52000291
NAR,52000013
ITF,76000373
NAR,40000094
ITF,52000649
NAR,76000100
NAR,63000479
NAR,72000215
NAR,40000349
NAR,72000295
ITF,52000233
NAR,40000596
NAR,40000052
ITF,72000089
NAR,76000032
NAR,40000386
NAR,63000212
ITF,72000260
ITF,63000188
NAR,72000143
NAR,63000187
NAR,52000245
ITF,72001024
NAR,76000053
NAR,72000187
ITF,72000007
NAR,72001034
NAR,52000161
NAR,40000565
NAR,76000311
ITF,63000331
ITF,52000597
NAR,63000229
ITF,72000360
ITF,72000037
NAR,40000326
NAR,52000085
NAR,76000344
NAR,52000663
NAR,63000192
ITF,40000170
NAR,63000204
NAR,40000665
NAR,76000005
ITF,72000004
NAR,76000096
ITF,72000301
NAR,76000246
NAR,63000177
ITF,40000330
ITF,52000293
ITF,52000378
NAR,72000848
ITF,52000408
ITF,40000081
NAR,40000292
ITF,40000201
NAR,52000680
NAR,72000878
NAR,72000308
NAR,40000243
NAR,52000568
NAR,52000621
ITF,72000203
ITF,52000340
NAR,52000102
NAR,72000329
ITF,40000100
ITF,52000671
ITF,52000653
ITF,52000675
NAR,72000400
ITF,40000115
NAR,40000201
NAR,52000393
NAR,72000684
ITF,40000402
NAR,52000343
NAR,63000227
ITF,52000533
NAR,76000159
ITF,63000242
NAR,52000769
NAR,40000311
NAR,52000287
NAR,40000447
NAR,63000036
NAR,52000345
NAR,40000258
NAR,52000712
NAR,52000602
ITF,63000515
ITF,76000183
NAR,63000173
ITF,72000228
NAR,72000872
NAR,40000114
NAR,40000152
NAR,72000198
NAR,40000353
NAR,63000169
NAR,52000181
ITF,76000238
ITF,63000172
NAR,76000357
NAR,52000301
ITF,76000395
NAR,52000659
NAR,52000475
NAR,40000648
ITF,76000246
NAR,52000337
NAR,52000506
ITF,76000084
NAR,53000093
ITF,72000872
ITF,40000222
NAR,40000464
ITF,72000075
ITF,53000099
NAR,72000044
NAR,52000554
ITF,40000400
NAR,63000242
ITF,72000210
NAR,52000656
ITF,63000312
ITF,72000832
ITF,52000397
NAR,40000647
ITF,76000108
ITF,72000024
ITF,40000448
ITF,40000035
ITF,76000335
NAR,63000328
NAR,40000571
NAR,72001042
ITF,76000063
NAR,63000302
ITF,72000822
ITF,76000313
ITF,72000128
NAR,72000007
ITF,52000704
ITF,76000177
NAR,52000617
ITF,63000228
ITF,40000474
ITF,72000239
NAR,63000205
NAR,52000519
ITF,72000187
NAR,52000669
NAR,52000648
ITF,40000151
NAR,72000807
NAR,52000366
NAR,40000047
ITF,63000041
NAR,52000206
NAR,63000044
NAR,63000158
NAR,63000264
NAR,76000120
ITF,40000469
ITF,40000229
ITF,40000645
NAR,76000023
ITF,76000088
NAR,40000185
ITF,40000283
ITF,72000038
ITF,63000003
NAR,72000303
NAR,72000119
ITF,72000126
NAR,63000011
NAR,72000188
NAR,63000136
NAR,63000086
NAR,40000637
ITF,63000237
ITF,40000558
NAR,76000317
NAR,52000317
ITF,40000296
NAR,40000171
ITF,53000139
NAR,72000350
NAR,40000463
NAR,63000031
ITF,40000627
NAR,40000635
NAR,52000231
NAR,40000257
NAR,63000178
NAR,52000267
NAR,63000260
ITF,52000419
ITF,40000432
ITF,72000627
ITF,40000003
ITF,63000246
NAR,40000448
NAR,63000151
ITF,52000389
NAR,72000140
NAR,52000618
NAR,40000508
NAR,63000203
ITF,63000376
NAR,40000389
ITF,52000488
ITF,52000222
ITF,72000287
NAR,40000439
NAR,63000033
NAR,40000373
ITF,76000159
ITF,63000078
ITF,76000200
ITF,40000053
NAR,40000133
NAR,72000269
NAR,72001025
NAR,63000249
NAR,40000477
NAR,72000821
NAR,63000245
ITF,52000207
ITF,40000125
NAR,40000237
ITF,72000047
ITF,40000122
NAR,40000220
NAR,63000179
ITF,63000185
NAR,40000118
NAR,72000670
NAR,52000216
NAR,40000563
NAR,52000488
ITF,76000156
NAR,52000729
ITF,76000107
NAR,76000376
ITF,63000537
NAR,52000761
ITF,72000769
ITF,76000110
NAR,40000406
NAR,72000596
ITF,52000672
NAR,40000468
NAR,63000128
ITF,52000278
ITF,76000125
ITF,63000471
ITF,72000147
NAR,40000354
ITF,52000090
ITF,72000065
NAR,40000198
ITF,76000014
NAR,52000737
NAR,76000269
NAR,52000504
ITF,63000239
NAR,72000666
NAR,76000262
NAR,40000446
NAR,52000315
ITF,72000330
ITF,40000643
NAR,72000130
ITF,40000016
NAR,52000069
ITF,63000525
NAR,63000013
ITF,40000141
ITF,63000173
NAR,52000221
NAR,72000822
ITF,40000582
ITF,72000151
NAR,53000075
NAR,72000165
ITF,52000637
ITF,76000245
ITF,72001009
NAR,52000168
ITF,40000347
NAR,76000314
ITF,72000081
NAR,52000486
NAR,52000687
NAR,72000339
NAR,63000072
NAR,52000360
NAR,72000712
NAR,52000388
NAR,52000279
NAR,52000599
NAR,76000098
NAR,72000681
ITF,72000745
ITF,40000598
NAR,52000001
NAR,72000310
NAR,52000134
ITF,52000257
NAR,52000642
NAR,52000772
NAR,40000554
NAR,52000740
